person_id,name_ru,name_translit,role,relation,dates,place_id,wikidata_qid,viaf_id,epistemic,certainty,source_id,source_page,notes
af,"Афанасий Никитин","Afanasiy Nikitin","Тверской купец, путешественник",self,"ум. 1475",tver,,,text,certain,KHR2026,,"Автор «Хожения». Умер под Смоленском, не дойдя до Твери."
boris,"Борис Захарьич","Boris Zakharyich","Воевода тверской",helped,,tver,,,text,certain,KHR2026,,"Дал охранную грамоту для выезда."
mikhail,"Кн. Михаил Борисович","Mikhail Borisovich","Великий князь Тверской",helped,"1461–1485 (правл.)",tver,,,text,certain,KHR2026,,"Благословение и санкция на купеческий выезд."
genadiy,"Владыка Геннадий","Gennadiy of Tver","Епископ Тверской",helped,,tver,,,text,certain,KHR2026,,"Церковное благословение отъезда."
asanbeg,"Асанбег Ширванский","Hasan-beg (Shirvan envoy)","Посол ширваншаха",neutral,,nizhny_novgorod,,,text,certain,KHR2026,,"Афанасий пристал к его каравану на Волге; после ограбления бросил купцов."
tatars,"Татары (астраханские)","Astrakhan Tatars","Ограбили караван под Астраханью",harmed,,astrakhan,,,text,certain,KHR2026,,"Коллективный субъект. Ограбление 1467 сделало возвращение невозможным."
farrukhyasar,"Ширваншах Фаррух-Ясар","Farrukh Yasar","Ширваншах",harmed,"1462–1500 (правл.)",derbent,,,reconstruction,certain,KHR2026,,"Идентификация титула «ширваншах». Отказал в возмещении убытков."
hassan,"Хасан-ходжа Хорасанский","Hasan-khoja Khorasani","Торговец из Хорасана",helped,,junnar,,,text,certain,KHR2026,,"Единственный, кому Афанасий лично благодарен; спас в Джуннаре."
asad,"Хан Асад","Khan Asad","Правитель Джуннара",harmed,,junnar,,,text,certain,KHR2026,,"Конфисковал коня, угрожал смертью за веру."
mahmud,"Махмуд Гаван","Mahmud Gawan","Великий визирь (меликтучар) Бахманидов",neutral,"ок. 1411–1481",bidar,,,reconstruction,approx,KHR2026,,"Идентификация «меликтучара». Хрусталёв: возможно, негласный протектор Афанасия (гипотеза)."
sultan,"Султан Махмуд III","Mahmud Shah III","Бахманидский султан",neutral,,bidar,,,reconstruction,certain,KHR2026,,"Идентификация титула «султан». Афанасий наблюдал его выезды."
brahmins,"Брахманы (Шрисайлам)","Brahmins (Srisailam)","Индуистские жрецы",helped,,srisailam,,,text,certain,KHR2026,,"Коллективный субъект. Приняли паломника, накормили."
local,"Купцы Индийского океана","Indian Ocean merchants","Морские торговые партнёры",neutral,,hormuz,,,text,approx,KHR2026,,"Коллективный субъект. Афанасий плыл на их судах («тавах»)."
mamyrev,"Дьяк Василий Мамырев","Vasiliy Mamyrev","Московский дьяк",indirect,,,,,text,certain,KHR2026,,"Получил «тетради», переписал, включил в летопись. Назван в обрамлении текста."
karamzin,"Н. М. Карамзин","Nikolay Karamzin","Историк, первый публикатор",indirect,,,,,reconstruction,certain,KHR2026,,"Первым опубликовал «Хожение» (1817). Историографический, а не текстовый персонаж."
